color;director_name;num_critic_for_reviews;duration;director_facebook_likes;actor_3_facebook_likes;actor_2_name;actor_1_facebook_likes;gross;genres;actor_1_name;movie_title;num_voted_users;cast_total_facebook_likes;actor_3_name;facenumber_in_poster;plot_keywords;movie_imdb_link;num_user_for_reviews;language;country;content_rating;budget;title_year;actor_2_facebook_likes;imdb_score_orig;aspect_ratio;movie_facebook_likes;Title;Year;content_rating_omdb;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Awards;Poster;Ratings;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;totalSeasons;Season;Episode;seriesID;Source_Currency
Color;Steven Spielberg;149.0;127.0;14000.0;440.0;Julian Glover;440.0;197171806.0;Action|Adventure|Fantasy;Harrison Ford;Indiana Jones and the Last Crusade ;515306.0;12884.0;Alison Doody;5.0;castle|diary|holy grail|map|nazi;http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1;477.0;English;USA;PG-13;48000000.0;1989;844.0;8.3;2.35;0.0;Indiana Jones and the Last Crusade;1989;PG-13;24/05/1989;127 min;Action, Adventure;Steven Spielberg;Jeffrey Boam, George Lucas, Menno Meyjes;Harrison Ford, Sean Connery, Alison Doody;in 1938, after his father goes missing while pursuing the holy grail, indiana jones finds himself up against the nazis again to stop them from obtaining its powers.;English, German, Greek, Latin, Italian;United States, Italy, Spain, United Kingdom, Jordan;Won 1 Oscar. 9 wins & 24 nominations total;https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}];65.0;8.2;848000;tt0097576;movie;;197171806.0;;;True;;;;;
Color;Steven Spielberg;148.0;118.0;14000.0;237.0;Amrish Puri;237.0;179870271.0;Action|Adventure;Harrison Ford;Indiana Jones and the Temple of Doom ;329969.0;11898.0;Kate Capshaw;2.0;children|studio logo segues into film|temple|village|white dinner jacket;http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1;524.0;English;USA;PG;28000000.0;1984;429.0;7.5;2.35;0.0;Indiana Jones and the Temple of Doom;1984;PG;23/05/1984;118 min;Action, Adventure;Steven Spielberg;Willard Huyck, Gloria Katz, George Lucas;Harrison Ford, Kate Capshaw, Ke Huy Quan;In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a sacred stone stolen from them by a secret cult.;English, Hindi, Sinhala;United States, United Kingdom;Won 1 Oscar. 11 wins & 22 nominations total;https://m.media-amazon.com/images/M/MV5BOGUwZjZiNWQtYzAzZi00NGI5LWE4YmUtN2Y4YWMwY2RlZDkyXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '57/100'}];57.0;7.5;558828;tt0087469;movie;;;;;True;;;;;
Color;Lisanne Pajot;50.0;103.0;0.0;0.0;Edmund McMillen;0.0;;Documentary;Jonathan Blow;Indie Game: The Movie ;16701.0;0.0;Phil Fish;0.0;movie in title;http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1;23.0;English;Canada;Not Rated;100000.0;2012;0.0;7.6;16.9;0.0;Indie Game: The Movie;2012;Not Rated;15/09/2012;103 min;Documentary, Drama;Lisanne Pajot, James Swirsky;;Jonathan Blow, Brandon Boyer, Renaud Bédard;A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.;English, French;Canada;3 wins & 6 nominations;https://m.media-amazon.com/images/M/MV5BMjA5NTUzMjQ1MV5BMl5BanBnXkFtZTcwMzc1MzQ4Nw@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '73/100'}];73.0;7.6;21517;tt1942884;movie;;;;;True;;;;;
Color;James Schamus;63.0;110.0;44.0;85.0;Sarah Gadon;85.0;560512.0;Drama;Logan Lerman;Indignation ;550.0;8972.0;Tracy Letts;0.0;based on novel;http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1;3.0;Hebrew;USA;R;;2016;691.0;6.7;2.35;599.0;Indignation;2016;R;03/11/2016;110 min;Drama, Romance;James Schamus;Philip Roth, James Schamus;Logan Lerman, Sarah Gadon, Tijuana Ricks;In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War.;English, Hebrew;United States, China, Brazil, Germany;8 nominations;https://m.media-amazon.com/images/M/MV5BMjIyNDg4OTYwOF5BMl5BanBnXkFtZTgwOTQ3ODgwOTE@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '78/100'}];78.0;6.7;12767;tt4193394;movie;;;;;True;;;;;
Color;Ruba Nadda;36.0;93.0;55.0;5.0;Bonnie Lee Bouman;5.0;4063.0;Drama|Mystery|Romance|Thriller;Saad Siddiqui;Inescapable ;2086.0;242.0;Fadia Nadda;3.0;;http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1;20.0;English;Canada;R;4000000.0;2012;11.0;5.1;2.35;657.0;Inescapable;2012;R;14/08/2014;93 min;Action, Drama, Mystery;Ruba Nadda;Ruba Nadda, Deborah Nathan, Lindy Davies;Alexander Siddig, Joshua Jackson, Marisa Tomei;Years after he left Damascus under suspicious circumstances, Adib Abdel Kareem must confront what he left behind when his daughter goes missing.;English, Arabic;Canada, South Africa;;https://m.media-amazon.com/images/M/MV5BMTczMjIzOTA1NF5BMl5BanBnXkFtZTcwMDEwMDcwOQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '37/100'}];37.0;5.1;2818;tt1844203;movie;;;;;True;;;;;
Color;Douglas McGrath;129.0;118.0;41.0;442.0;Isabella Rossellini;442.0;1150403.0;Biography|Crime|Drama;Toby Jones;Infamous ;14143.0;3474.0;Hope Davis;4.0;blood|book|cold calculation|murder|writer;http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1;102.0;English;USA;R;13000000.0;2006;812.0;7.0;1.85;0.0;Infamous;2006;R;13/10/2006;110 min;Biography, Crime, Drama;Douglas McGrath;Douglas McGrath, George Plimpton;Toby Jones, Daniel Craig, Sandra Bullock;"While researching his novel ""In Cold Blood"", Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith.";English;United States;3 wins & 2 nominations;https://m.media-amazon.com/images/M/MV5BMjQ1NTAyODYxOF5BMl5BanBnXkFtZTgwODE0MDczMjI@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '68/100'}];68.0;7.0;18382;tt0420609;movie;;;;;True;;;;;
Color;Quentin Tarantino;486.0;153.0;16000.0;11000.0;Brad Pitt;11000.0;120523073.0;Adventure|Drama|War;Michael Fassbender;Inglourious Basterds ;885175.0;36741.0;Christoph Waltz;1.0;france|german|nazis|revenge|scalping;http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1;1527.0;English;USA;R;75000000.0;2009;11000.0;8.3;2.35;42000.0;Inglourious Basterds;2009;R;21/08/2009;153 min;Adventure, Drama, War;Quentin Tarantino;Quentin Tarantino;Brad Pitt, Mélanie Laurent, Christoph Waltz;in nazi-occupied france during world war ii, a plan to assassinate nazi leaders by a group of jewish u.s. soldiers coincides with a theatre owner's vengeful plans for the same.;English, German, French, Italian;United States, Germany;Won 1 Oscar. 134 wins & 173 nominations total;https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '69/100'}];69.0;8.4;1735021;tt0361748;movie;;120540719.0;;;True;;;;;
Color;Paul Thomas Anderson;401.0;148.0;0.0;175.0;Katherine Waterston;175.0;8093318.0;Comedy|Crime|Drama|Mystery|Romance;Martin Dew;Inherent Vice ;61935.0;707.0;Serena Scott Thomas;0.0;1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration;http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1;242.0;English;USA;R;20000000.0;2014;178.0;6.6;1.85;18000.0;Inherent Vice;2014;R;09/01/2015;148 min;Comedy, Crime, Drama;Paul Thomas Anderson;Paul Thomas Anderson, Thomas Pynchon;Joaquin Phoenix, Josh Brolin, Owen Wilson;"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.";English, Japanese;United States;Nominated for 2 Oscars. 15 wins & 99 nominations total;https://m.media-amazon.com/images/M/MV5BMmU3YjYzZWEtZDEzYy00YjA4LWI0YTUtY2RiMzVlYzZkZjg3XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '81/100'}];81.0;6.6;117094;tt1791528;movie;;;;;True;;;;;
Color;Jamin Winans;66.0;107.0;63.0;76.0;Marty Lindsey;76.0;;Action|Drama|Fantasy|Sci-Fi;Eme Ikwuakor;Ink ;18486.0;457.0;Jessica Duffy;0.0;dream|self destructiveness|storyteller|time paradox|workaholic;http://www.imdb.com/title/tt1071804/?ref_=fn_tt_tt_1;215.0;English;USA;;;2009;115.0;6.8;1.78;11000.0;Ink;2009;0;23/01/2009;107 min;Action, Drama, Fantasy;Jamin Winans;Jamin Winans;Christopher Soren Kelly, Quinn Hunchar, Jessica Duffy;A mysterious creature, known as Ink, steals a child's soul in hopes of using it as a bargaining chip to join the Incubi - the group of supernatural beings responsible for creating nightmares.;English;United States;1 win & 1 nomination;https://m.media-amazon.com/images/M/MV5BMjIyNzE4NjUwM15BMl5BanBnXkFtZTcwMzUyODg5Mg@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}];;6.8;22525;tt1071804;movie;;;;;True;;;;;
Color;Iain Softley;161.0;106.0;34.0;466.0;Stephen Graham;466.0;17281832.0;Adventure|Family|Fantasy;Brendan Fraser;Inkheart ;60232.0;5329.0;Jamie Foreman;3.0;book|escape|girl|overalls|villain;http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1;110.0;English;Germany;PG;60000000.0;2008;1000.0;6.1;2.35;0.0;Inkheart;2008;PG;23/01/2009;106 min;Adventure, Family, Fantasy;Iain Softley;David Lindsay-Abaire, Cornelia Funke;Brendan Fraser, Andy Serkis, Eliza Bennett;a teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.;English;Germany, United Kingdom, United States, Italy;1 win total;https://m.media-amazon.com/images/M/MV5BZjMwY2M0MGQtYzBkYS00YWZkLTg0YWUtZThkMzcwNjRjOTJmXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '49/100'}];49.0;6.1;84111;tt0494238;movie;;17303424.0;;;True;;;;;
 Black and White;Fenton Bailey;123.0;89.0;13.0;218.0;Bill Maher;218.0;653621.0;Biography|Documentary|History;Hugh M. Hefner;Inside Deep Throat ;5615.0;1136.0;Linda Lovelace;0.0;clitoris|deep throat|fellatio|oral sex|porn industry;http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1;64.0;English;USA;NC-17;2000000.0;2005;334.0;6.7;1.85;592.0;Inside Deep Throat;2005;NC-17;21/04/2005;89 min;Documentary, Biography, History;Fenton Bailey, Randy Barbato;Fenton Bailey, Randy Barbato;Linda Lovelace, Harry Reems, Dennis Hopper;An examination of the infamous pornographic film Deep Throat (1972), covering aspects from the film's creation to its cultural impact.;English;United States;1 win & 1 nomination;https://m.media-amazon.com/images/M/MV5BMjYwN2FmNWItMWQwMS00MTgwLWI4MGMtZjhmMDk5NmQ3ZmU2XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '64/100'}];64.0;6.7;708;tt0418753;movie;;;;;True;;;;;
Color;Charles Ferguson;171.0;105.0;117.0;18.0;George W. Bush;18.0;4311834.0;Crime|Documentary;Matt Damon;Inside Job ;55382.0;13145.0;Barney Frank;0.0;florida|iceland|interview|new york city new york|recession;http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1;129.0;English;USA;PG-13;;2010;125.0;8.2;2.35;63000.0;Inside Job;2010;PG-13;12/11/2010;109 min;Documentary, Crime;Charles Ferguson;Charles Ferguson, Chad Beck, Adam Bolt;Matt Damon, Gylfi Zoega, Andri Snær Magnason;Takes a closer look at what brought about the 2008 financial meltdown.;English;United States;Won 1 Oscar. 8 wins & 27 nominations total;https://m.media-amazon.com/images/M/MV5BMTQ3MjkyODA2Nl5BMl5BanBnXkFtZTcwNzQxMTU4Mw@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '88/100'}];88.0;8.2;81686;tt1645089;movie;;;;;True;;;;;
Color;Ethan Coen;535.0;104.0;1000.0;272.0;Max Casella;272.0;13214255.0;Drama|Music;Justin Timberlake;Inside Llewyn Davis ;96233.0;4082.0;Alex Karpovsky;1.0;1960s|car hitting an animal|folk singer|friend|singer;http://www.imdb.com/title/tt2042568/?ref_=fn_tt_tt_1;313.0;English;USA;R;11000000.0;2013;275.0;7.4;1.85;26000.0;Inside Llewyn Davis;2013;R;10/01/2014;104 min;Drama, Music;Ethan Coen, Joel Coen;Joel Coen, Ethan Coen;Oscar Isaac, Carey Mulligan, John Goodman;A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.;English;United States, United Kingdom, France;Nominated for 2 Oscars. 47 wins & 174 nominations total;https://m.media-amazon.com/images/M/MV5BMjAxNjcyNDQxM15BMl5BanBnXkFtZTgwNzU2NDA0MDE@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '93/100'}];93.0;7.4;169425;tt2042568;movie;;;;;True;;;;;
Color;Spike Lee;230.0;129.0;0.0;277.0;James Ransone;277.0;88504640.0;Crime|Drama|Mystery|Thriller;Denzel Washington;Inside Man ;273108.0;19148.0;Peter Gerety;2.0;bank|detective|negotiation|police|robber;http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1;646.0;English;USA;R;45000000.0;2006;412.0;7.6;2.35;0.0;Inside Man;2006;R;24/03/2006;129 min;Crime, Drama, Mystery;Spike Lee;Russell Gewirtz;Denzel Washington, Clive Owen, Jodie Foster;a police detective, a bank robber and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.;English, Albanian, Spanish, Polish;United States;5 wins & 12 nominations total;https://m.media-amazon.com/images/M/MV5BZWFmMDZkYjktMjYyOS00MTM2LTg2MmQtOTUwMzJjMDlhZDY1XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}];76.0;7.6;417398;tt0454848;movie;;88513495.0;;;True;;;;;
Color;Pete Docter;536.0;95.0;0.0;384.0;Mindy Kaling;384.0;356454367.0;Adventure|Animation|Comedy|Drama|Family|Fantasy;Amy Poehler;Inside Out ;345198.0;2944.0;Phyllis Smith;1.0;anger|joy|memory|running away|sadness;http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1;773.0;English;USA;PG;175000000.0;2015;767.0;8.3;1.85;118000.0;Inside Out;2015;PG;19/06/2015;95 min;Animation, Adventure, Comedy;Pete Docter, Ronnie Del Carmen;Pete Docter, Ronnie Del Carmen, Meg LeFauve;Amy Poehler, Phyllis Smith, Richard Kind;after young riley is uprooted from her midwest life and moved to san francisco, her emotions, joy, fear, anger, disgust, and sadness, conflict on how best to navigate a new city, house, and school.;English, Portuguese, Latvian;United States;Won 1 Oscar. 99 wins & 118 nominations total;https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}];94.0;8.1;891500;tt2096673;movie;;356461711.0;;;True;;;;;
Color;James Wan;318.0;106.0;0.0;482.0;Barbara Hershey;482.0;83574831.0;Fantasy|Horror|Thriller;Lin Shaye;Insidious: Chapter 2 ;109214.0;2975.0;Leigh Whannell;0.0;barricading a door|injection in leg|police detective|supernatural|taser;http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1;269.0;English;USA;PG-13;5000000.0;2013;618.0;6.6;2.35;35000.0;Insidious: Chapter 2;2013;PG-13;13/09/2013;106 min;Horror, Mystery, Thriller;James Wan;Leigh Whannell, James Wan;Patrick Wilson, Rose Byrne, Barbara Hershey;The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.;English;United Kingdom, Canada, United States;16 nominations total;https://m.media-amazon.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '40/100'}];40.0;6.6;198038;tt2226417;movie;;;;;True;;;;;
Color;Leigh Whannell;242.0;97.0;482.0;482.0;Hayley Kiyoko;482.0;52200504.0;Fantasy|Horror|Thriller;Lin Shaye;Insidious: Chapter 3 ;54190.0;2426.0;Leigh Whannell;0.0;demon|possession|psychic|supernatural|teenager;http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1;183.0;English;Canada;PG-13;10000000.0;2015;542.0;6.1;2.35;29000.0;Insidious: Chapter 3;2015;PG-13;05/06/2015;97 min;Horror, Mystery, Thriller;Leigh Whannell;Leigh Whannell;Dermot Mulroney, Stefanie Scott, Angus Sampson;A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous s...;English;United Kingdom, Canada, United States;3 wins & 11 nominations total;https://m.media-amazon.com/images/M/MV5BMTUwNDU4NjE1N15BMl5BanBnXkFtZTgwOTc0MzA5NDE@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '52/100'}];52.0;6.1;125032;tt3195644;movie;;;;;True;;;;;
Color;James Wan;445.0;103.0;0.0;588.0;Barbara Hershey;588.0;53991137.0;Fantasy|Horror|Mystery|Thriller;Lin Shaye;Insidious ;202800.0;3030.0;Philip Friedman;1.0;baby|boy|coma|demon|house;http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1;752.0;English;USA;PG-13;1500000.0;2010;618.0;6.8;2.35;60000.0;Insidious;2010;PG-13;01/04/2011;103 min;Horror, Mystery, Thriller;James Wan;Leigh Whannell;Patrick Wilson, Rose Byrne, Ty Simpkins;A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.;English;United States, Canada;8 wins & 16 nominations total;https://m.media-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '52/100'}];52.0;6.8;357535;tt1591095;movie;;;;;True;;;;;
Color;Daston Kalili;;127.0;2.0;0.0;Rai Alexandra;0.0;;Thriller;Daston Kalili;Insomnia Manica ;16.0;2.0;Chin-Chien Chang;0.0;;http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1;3.0;English;USA;;500000.0;2005;0.0;6.1;1.33;0.0;Insomnia Manica;2005;0;17/03/2005;127 min;Thriller;Dastan Khalili;Dastan Khalili;Rai Alexandra, Gregory Searrao Bach, Chin-Chien Chang;"A fast-paced psychological thrill ride combining relentless and cutting-edge filmmaking make ""Insomnia Manica"" a gripping neo-noir tale of a young group of vigilante thieves who choose to steal the wrong prize. Set in the dark, gr...";English;United States;2 nominations;https://m.media-amazon.com/images/M/MV5BMTY0OTM1NzY0Nl5BMl5BanBnXkFtZTcwMTYzMzAzMQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}];;6.1;25;tt0455556;movie;;;;;True;;;;;
Color;Christopher Nolan;185.0;118.0;22000.0;319.0;Maura Tierney;319.0;67263182.0;Drama|Mystery|Thriller;Al Pacino;Insomnia ;218771.0;15658.0;Crystal Lowe;0.0;detective|insomnia|murder|partner|police;http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1;651.0;English;USA;R;46000000.0;2002;509.0;7.2;2.35;0.0;Insomnia;2002;R;24/05/2002;118 min;Drama, Mystery, Thriller;Christopher Nolan;Hillary Seitz, Nikolaj Frobenius, Erik Skjoldbjærg;Al Pacino, Martin Donovan, Oliver 'Ole' Zemen;a los angeles detective chases a murder suspect in a remote alaskan town.;English;United States, United Kingdom;1 win & 11 nominations total;https://m.media-amazon.com/images/M/MV5BOTE2NzQ0MzQtMDRmZi00ZWRiLWE4MDEtY2M1Mjc3OGY5N2JkXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '78/100'}];78.0;7.2;336119;tt0278504;movie;;67355513.0;;;True;;;;;
Color;David Kellogg;70.0;110.0;16.0;692.0;Rene Auberjonois;692.0;97360069.0;Action|Adventure|Comedy|Family|Sci-Fi;Matthew Broderick;Inspector Gadget ;36491.0;5320.0;Rupert Everett;0.0;actor playing multiple roles|claw|gadget|inspector|police;http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1;231.0;English;USA;PG;75000000.0;1999;710.0;4.1;1.85;509.0;Inspector Gadget;1999;PG;23/07/1999;78 min;Action, Adventure, Comedy;David Kellogg;Andy Heyward, Jean Chalopin, Bruno Bianchi;Matthew Broderick, Rupert Everett, Joely Fisher;a security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.;English, Norwegian, French, Spanish;United States;1 win & 13 nominations total;https://m.media-amazon.com/images/M/MV5BZDJlODc3NWItODA4MC00ODhiLTllNjMtMzI0ZWFiZDUxODM2XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}];36.0;4.2;53127;tt0141369;movie;;97403112.0;;;True;;;;;
Color;Jon Turteltaub;100.0;126.0;226.0;241.0;Maura Tierney;241.0;34098563.0;Drama|Thriller;Anthony Hopkins;Instinct ;27191.0;13406.0;John Ashton;1.0;africa|anthropologist|murder|poacher|psychiatrist;http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1;232.0;English;USA;R;55000000.0;1999;509.0;6.5;2.35;0.0;Instinct;1999;R;04/06/1999;126 min;Drama, Thriller;Jon Turteltaub;Gerald Di Pego, Daniel Quinn;Anthony Hopkins, Cuba Gooding Jr., Donald Sutherland;when noted anthropologist dr. ethan powell, who left society to live in the jungle, is imprisoned for murder, it's up to young psychiatrist theo caulder to get through to him.;English;United States;1 win & 2 nominations total;https://m.media-amazon.com/images/M/MV5BZGUyOTVkMDQtYzFjNy00MDVkLThlOWEtMTkwNzY4MjY3ZjI0XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '43/100'}];43.0;6.5;34687;tt0128278;movie;;34105207.0;;;True;;;;;
Color;Eugenio Derbez;41.0;115.0;399.0;83.0;Jessica Lindsey;83.0;44456509.0;Comedy|Drama;Eugenio Derbez;Instructions Not Included ;22105.0;688.0;Hugo Stiglitz;1.0;father daughter relationship;http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1;81.0;Spanish;Mexico;PG-13;5000000.0;2013;89.0;7.5;1.85;14000.0;Instructions Not Included;2013;PG-13;06/09/2013;122 min;Comedy, Drama;Eugenio Derbez;Guillermo Ríos, Leticia López Margalli, Eugenio Derbez;Andrés Vázquez, Hugo Stiglitz, Eugenio Derbez;A man who has made a new life for himself and the daughter left on his doorstep 6 years ago finds his family threatened when the birth mother resurfaces.;Spanish, English, Portuguese;Mexico;7 wins & 8 nominations total;https://m.media-amazon.com/images/M/MV5BNzVjOTZhZTEtNTc4OS00NTY1LThjZTgtZjdkZWViOTI4NDE2XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '55/100'}];55.0;7.5;3404;tt2378281;movie;;;;;True;;;;;
Color;Robert Schwentke;263.0;119.0;124.0;1000.0;Theo James;1000.0;129995817.0;Adventure|Sci-Fi|Thriller;Kate Winslet;Insurgent ;154621.0;22622.0;Mekhi Phifer;0.0;action heroine|falling from height|mind control|trainhopping|truth serum;http://www.imdb.com/title/tt2908446/?ref_=fn_tt_tt_1;258.0;English;USA;PG-13;110000000.0;2015;5000.0;6.3;2.35;27000.0;Insurgent;2015;PG-13;20/03/2015;119 min;Action, Adventure, Sci-Fi;Robert Schwentke;Brian Duffield, Akiva Goldsman, Mark Bomback;Shailene Woodley, Ansel Elgort, Theo James;tris prior must confront her inner demons, and with help from those closest to her, continue the fight against a powerful alliance that threatens to tear her society apart.;English;United States, Canada;4 wins & 18 nominations total;https://m.media-amazon.com/images/M/MV5BMTgxOTYxMTg3OF5BMl5BanBnXkFtZTgwMDgyMzA2NDE@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}];42.0;6.2;267171;tt2908446;movie;;130179072.0;;;True;;;;;
